storeId,storeName,regionGroup,city,district,address,phone,hours,officialSourceUrl,officialMapUrl,gmbStatus,gmbOrderingStatus,manualReviewReason
truedan-tw-43-01,南投埔里店,中部,南投縣,埔里鎮,南投縣埔里鎮大城里中山路三段267號,04-9291-6606,10:00-21:00,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=43,https://www.google.com/maps?q=%E5%8D%97%E6%8A%95%E7%B8%A3%E5%9F%94%E9%87%8C%E9%8E%AE%E5%A4%A7%E5%9F%8E%E9%87%8C%E4%B8%AD%E5%B1%B1%E8%B7%AF%E4%B8%89%E6%AE%B5267%E8%99%9F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-12-03,台中中工店,中部,台中市,西屯區,台中市西屯區中工三路42-1號,04-2359-4868,三～六 09:30-21:30 日～二 10:00-20:30,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.google.com/maps?q=%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%B1%AF%E5%8D%80%E4%B8%AD%E5%B7%A5%E4%B8%89%E8%B7%AF42-1%E8%99%9F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-12-06,台中南屯店,中部,台中市,南屯區,台中市南屯區南屯路二段393號,04-2386-3839,二～六:09:30～21:00 日、一:10:00～20:30,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.google.com/maps?q=%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8D%97%E5%B1%AF%E5%8D%80%E5%8D%97%E5%B1%AF%E8%B7%AF%E4%BA%8C%E6%AE%B5393%E8%99%9F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-12-04,台中建和店,中部,台中市,北屯區,台中市北屯區建和路二段26號,04-2436-3851,10:00-21:00,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.google.com/maps?q=%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8C%97%E5%B1%AF%E5%8D%80%E5%BB%BA%E5%92%8C%E8%B7%AF%E4%BA%8C%E6%AE%B526%E8%99%9F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-12-05,台中昌平店,中部,台中市,北屯區,台中市北屯區昌平路一段200號一樓,04-2235-0002,週一~週日 10:00-21:00,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.google.com/maps?q=%E5%8F%B0%E4%B8%AD%E5%B8%82%E5%8C%97%E5%B1%AF%E5%8D%80%E6%98%8C%E5%B9%B3%E8%B7%AF%E4%B8%80%E6%AE%B5200%E8%99%9F%E4%B8%80%E6%A8%93&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-12-02,台中精誠店,中部,台中市,西區,台中市西區精誠路196號1F,04-2310-8881,10:00-23:00,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.google.com/maps?q=%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%8D%80%E7%B2%BE%E8%AA%A0%E8%B7%AF196%E8%99%9F1F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-12-01,台中豐原店,中部,台中市,豐原區,台中市豐原區豐榮里三民路157號1樓,04-25257155,10:00-21:30,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=12,https://www.google.com/maps?q=%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%B1%90%E5%8E%9F%E5%8D%80%E8%B1%90%E6%A6%AE%E9%87%8C%E4%B8%89%E6%B0%91%E8%B7%AF157%E8%99%9F1%E6%A8%93&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-54-01,雲林斗六店,中部,雲林縣,斗六市,雲林縣斗六市民生南路207號,05-5362-816,10:00-21:30,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=54,https://www.google.com/maps?q=%E9%9B%B2%E6%9E%97%E7%B8%A3%E6%96%97%E5%85%AD%E5%B8%82%E6%B0%91%E7%94%9F%E5%8D%97%E8%B7%AF207%E8%99%9F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-16-01,中山赤峰店,北部,台北市,大同區,台北市大同區承德路二段1巷38號,02-25586858,10:00-20:00,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%90%8C%E5%8D%80%E6%89%BF%E5%BE%B7%E8%B7%AF%E4%BA%8C%E6%AE%B51%E5%B7%B738%E8%99%9F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
truedan-tw-16-13,中正南門店,北部,台北市,中正區,台北市中正區羅斯福路一段12號,02-2397-1828,周三至周日10:00-21:00 周一至周二10:00~20:00,https://www.truedan.com.tw/portal_d1_cnt.php?s_contury=1&s_city=16,https://www.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E4%B8%80%E6%AE%B512%E8%99%9F&hl=zh-TW&z=14&t=&output=embed,needs_manual_review,needs_manual_review,已從官網取得門市；尚未逐店完成人工節奏 Google Business Profile / Google Order 與平台定位查核。
